listing name,room,confirmation,status,check in,check out,total payout
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMD43295MR,Canceled by guest,"Mar 5, 2023","Mar 6, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMR8WRK95K,Canceled by guest,"Mar 3, 2023","Mar 7, 2023",0.00
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HMC9TSBY3K,Canceled by guest,"Mar 3, 2023","Mar 6, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-214,Room-214,HMNH4D4EA8,Canceled by Airbnb,"Mar 3, 2023","Mar 4, 2023",0.00
Discard-112,Discard-112,HMDE3M3CYY,Canceled by Airbnb,"Feb 24, 2023","Feb 26, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-216,Room-216,HMCMJRSN2M,Canceled by Airbnb,"Feb 24, 2023","Feb 25, 2023",0.00
Ocean View*Beach Front*Sleep4*Laundry*Room-216,Room-216,HMBJ8JTPNB,Canceled by guest,"Feb 24, 2023","Feb 25, 2023",0.00
Discard-107,Discard-107,HMMH5WHSC2,Canceled by Airbnb,"Feb 19, 2023","Feb 20, 2023",0.00
OceanView*BeachFront*Sleep4*Full Kitchen*Room-110,Room-110,HMDEPPHBYR,Canceled by guest,"Feb 18, 2023","Feb 20, 2023",436.50
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HM4FT5CCA3,Canceled by guest,"Feb 18, 2023","Feb 20, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-125,Room-125,HM8B5RD9WW,Canceled by guest,"Feb 18, 2023","Feb 20, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-120,Room-120,HMMTNAD9PN,Canceled by guest,"Feb 17, 2023","Feb 21, 2023",0.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-221,Room-221,HMRAWN3Q5Y,Canceled by guest,"Feb 17, 2023","Feb 21, 2023",0.00
Beach Front*Sleep4*Full Kitchen*Laundry*Room-204,Room-204,HMNPZD5A4C,Canceled by guest,"Feb 17, 2023","Feb 20, 2023",0.00
