listing name,room,confirmation,status,check in,check out,total payout
Discard: DSIS102,Discard: DSIS102,HM24AAQTX5,Past guest,"Jan 5, 2023","Jan 6, 2023",84.39
Discard: DSIS102,Discard: DSIS102,HMY5W58TRH,Past guest,"Dec 30, 2022","Jan 1, 2023",224.07
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMAWXFX5J3,Past guest,"Dec 28, 2022","Dec 31, 2022",357.93
Discard: DSIS102,Discard: DSIS102,HMATHAE3X2,Past guest,"Dec 29, 2022","Dec 30, 2022",84.39
Discard: DSIS102,Discard: DSIS102,HMQA53PAP8,Past guest,"Dec 29, 2022","Dec 30, 2022",84.39
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HM2KWSHFNH,Past guest,"Dec 29, 2022","Dec 30, 2022",90.21
Discard: DSIS102,Discard: DSIS102,HM93STFBY9,Past guest,"Dec 29, 2022","Dec 30, 2022",84.39
Discard: DSIS102,Discard: DSIS102,HM8F93FS4B,Past guest,"Dec 28, 2022","Dec 30, 2022",168.78
Discard: DSIS102,Discard: DSIS102,HMY24N9X5W,Past guest,"Dec 28, 2022","Dec 29, 2022",84.39
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMJKCFB2NE,Past guest,"Dec 28, 2022","Dec 29, 2022",90.21
Discard: DSIS102,Discard: DSIS102,HMB8N52DQS,Past guest,"Dec 28, 2022","Dec 29, 2022",84.39
Discard: DSIS119,Discard: DSIS119,HMXBDXHAZR,Past guest,"Dec 27, 2022","Dec 29, 2022",178.48
Discard: DSIS102,Discard: DSIS102,HMH2CCNRT8,Past guest,"Dec 26, 2022","Dec 27, 2022",84.39
Discard: DSIS119,Discard: DSIS119,HMHYDF9RYA,Past guest,"Dec 22, 2022","Dec 23, 2022",131.92
Discard: DSIS102,Discard: DSIS102,HMYH2FHC9C,Past guest,"Dec 19, 2022","Dec 20, 2022",84.39
Discard: DSIS119,Discard: DSIS119,HM58MESXDZ,Past guest,"Dec 18, 2022","Dec 19, 2022",89.24
Discard: DSIS119,Discard: DSIS119,HMY4KE3ZBJ,Past guest,"Dec 15, 2022","Dec 16, 2022",89.24
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HM9BWHXSMD,Past guest,"Dec 10, 2022","Dec 11, 2022",99.91
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HMZSED3TFN,Past guest,"Dec 10, 2022","Dec 11, 2022",99.91
Scooter*BeachAccess*Sleep5*KingBed*Kitchen Room114,Kitchen Room114,HM8MFEHTX2,Past guest,"Dec 9, 2022","Dec 11, 2022",201.76
Discard: DSIS102,Discard: DSIS102,HMW8MZ8A9Y,Past guest,"Dec 3, 2022","Dec 4, 2022",105.73
Discard: DSIS119,Discard: DSIS119,HM5BQFCP5J,Past guest,"Nov 15, 2022","Nov 16, 2022",142.59
Discard: DSIS102,Discard: DSIS102,HMCNTWX5CX,Past guest,"Nov 7, 2022","Nov 8, 2022",94.09
Discard: DSIS102,Discard: DSIS102,HMDYBC8KQQ,Past guest,"Oct 30, 2022","Oct 31, 2022",94.09
Discard: DSIS102,Discard: DSIS102,HMQ4Z8DWDC,Past guest,"Sep 19, 2022","Sep 20, 2022",77.60
Discard: DSIS119,Discard: DSIS119,HM3FFC2TXW,Past guest,"Sep 9, 2022","Sep 11, 2022",193.03
Discard: DSIS102,Discard: DSIS102,HMSHRHNABB,Past guest,"Aug 27, 2022","Aug 29, 2022",257.05
Discard: DSIS119,Discard: DSIS119,HMZW8QWNSX,Past guest,"Aug 26, 2022","Aug 28, 2022",280.33
Discard: DSIS102,Discard: DSIS102,HMQWHBC3M3,Past guest,"Aug 20, 2022","Aug 22, 2022",177.51
Discard: DSIS102,Discard: DSIS102,HMB29DT3JZ,Past guest,"Aug 16, 2022","Aug 18, 2022",145.50
Discard: DSIS102,Discard: DSIS102,HM2D4YNPEP,Past guest,"Jul 26, 2022","Jul 28, 2022",190.12
