listing name,room,confirmation,status,check in,check out,total payout
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HM2HWAPSRZ,Past guest,"Sep 25, 2021","Sep 28, 2021",425.83
Discard: 300PT 16I,Discard: 300PT 16I,HM5HKTAESN,Past guest,"Sep 23, 2021","Sep 28, 2021",711.98
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HMQJY3DWNR,Past guest,"Sep 24, 2021","Sep 27, 2021",564.54
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HMN9YDEEWA,Past guest,"Sep 24, 2021","Sep 26, 2021",279.36
Discard: 300 PT 20M,Discard: 300 PT 20M,HM22S4DS5T,Past guest,"Sep 24, 2021","Sep 26, 2021",269.66
Discard: Anna,Discard: Anna,HM3X28C9S8,Past guest,"Sep 23, 2021","Sep 26, 2021",620.21
Discard: 300PT 10I,Discard: 300PT 10I,HMFXHPSMCX,Past guest,"Sep 22, 2021","Sep 26, 2021",679.00
Discard: 300PT 16I,Discard: 300PT 16I,HMXBDMT9SD,Past guest,"Sep 21, 2021","Sep 23, 2021",296.82
Luxury* Balcony w/CityView* NewlyRenovated* 15K, 15K,HMWEXHJFRD,Past guest,"Sep 19, 2021","Sep 21, 2021",266.75
HighFloor* Balcony* PrimeLocation*Affordable 23M,Affordable 23M,HMCB33AZMW,Past guest,"Sep 17, 2021","Sep 21, 2021",469.48
Sleep 5* Luxury* Balcony *NewlyRenovated* 15J, 15J,HMMJ53JHDC,Past guest,"Sep 17, 2021","Sep 20, 2021",470.45
Discard: 300PT 2M,Discard: 300PT 2M,HM5A5MT9QW,Past guest,"Sep 18, 2021","Sep 20, 2021",257.05
*Luxury*Balcony w/CityView*NewlyRenovated* 10M, 10M,HM8E25KNM9,Past guest,"Sep 16, 2021","Sep 20, 2021",471.42
Sleeps5*Luxury*HighFloor*Balcony *Renovated 15I,Renovated 15I,HM4SQKB884,Past guest,"Sep 17, 2021","Sep 20, 2021",552.90
Discard: 300PT 16I,Discard: 300PT 16I,HMRRKC3WRE,Past guest,"Sep 18, 2021","Sep 20, 2021",462.69
Sleeps8*Luxuryw/CityView*NewlyRenovated*Laundry3E,Laundry3E,HMXSSHCRYK,Past guest,"Sep 17, 2021","Sep 20, 2021",566.48
