listing name,room,confirmation,status,check in,check out,total payout
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HMESXK34WD,Past guest,"Jan 19, 2023","Jan 22, 2023",283.72
StreetFront*2 Full*WIFI*Security*Laundry*Room-138,Room-138,HMQWSHJFH3,Past guest,"Jan 20, 2023","Jan 21, 2023",75.66
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HMBK3QKK44,Past guest,"Jan 20, 2023","Jan 21, 2023",75.66
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMCSHQERFB,Past guest,"Jan 20, 2023","Jan 21, 2023",87.30
BeachFront*1 King*WIFI*Security*Laundry*Room-103,Room-103,HM4J4AFP5F,Past guest,"Jan 20, 2023","Jan 21, 2023",65.96
BeachFront*2 Full*WIFI*Security*Laundry*Room-117,Room-117,HMP3XR2Y4T,Past guest,"Jan 20, 2023","Jan 21, 2023",87.30
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HMXT82FKZ9,Past guest,"Jan 19, 2023","Jan 21, 2023",95.06
BeachFront*2 Full*WIFI*Security*Laundry*Room-132,Room-132,HMFSRXFDTQ,Past guest,"Jan 14, 2023","Jan 21, 2023",399.64
BeachFront*2 full*WIFI*Security*Laundry*Room-127,Room-127,HM92E2KQZP,Past guest,"Jan 14, 2023","Jan 21, 2023",399.64
BeachFront*1 King*WIFI*Security*Laundry*Room-116,Room-116,HMDWEH5NFP,Past guest,"Jan 19, 2023","Jan 20, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-134,Room-134,HM4PA9SMZP,Past guest,"Jan 19, 2023","Jan 20, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-139,Room-139,HMBTNBXXKT,Past guest,"Jan 18, 2023","Jan 20, 2023",67.90
BeachFront*1 King*WIFI*Security*Laundry*Room-105,Room-105,HMWPT24SWK,Past guest,"Jan 18, 2023","Jan 20, 2023",67.90
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HMHMSC2J5F,Past guest,"Jan 18, 2023","Jan 20, 2023",67.90
BeachFront*1 King*WIFI*Security*Laundry*Room-103,Room-103,HMCSYZTQER,Past guest,"Jan 19, 2023","Jan 20, 2023",38.80
Discard-108,Discard-108,HMSJPDSYXM,Past guest,"Jan 18, 2023","Jan 20, 2023",77.60
BeachFront*2 Full*WIFI*Security*Laundry*Room-133,Room-133,HMYA2HKXF5,Past guest,"Jan 17, 2023","Jan 20, 2023",193.52
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMDFPA9DK4,Past guest,"Jan 18, 2023","Jan 20, 2023",77.60
BeachFront*2 Full*WIFI*Security*Laundry*Room-131,Room-131,HMQE5SCPRR,Past guest,"Jan 18, 2023","Jan 19, 2023",48.50
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HMNAHCXRNC,Past guest,"Jan 18, 2023","Jan 19, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-134,Room-134,HMC82JMCTE,Past guest,"Jan 17, 2023","Jan 19, 2023",67.90
BeachFront*2 Full*WIFI*Security*Laundry*Room- 110,Room- 110,HMFBDJKZC3,Past guest,"Jan 17, 2023","Jan 19, 2023",97.00
BeachFront*1 King*WIFI*Security*Laundry*Room-103,Room-103,HMHSWXWZ9J,Past guest,"Jan 17, 2023","Jan 19, 2023",58.20
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HMH839RJM4,Past guest,"Jan 17, 2023","Jan 19, 2023",97.00
StreetFront*2 Full*WIFI*Security*Laundry*Room-138,Room-138,HMXCAQZX2A,Past guest,"Jan 17, 2023","Jan 18, 2023",48.50
BeachFront*1 King*WIFI*Security*Laundry*Room-140,Room-140,HMRYQ8MBYD,Past guest,"Jan 17, 2023","Jan 18, 2023",48.50
BeachFront*1 King*WIFI*Security*Laundry*Room-105,Room-105,HMWA29JSAN,Past guest,"Jan 17, 2023","Jan 18, 2023",48.50
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HMFXSP3ZM3,Past guest,"Jan 16, 2023","Jan 18, 2023",67.90
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HMPMR3DJAZ,Past guest,"Jan 17, 2023","Jan 18, 2023",48.50
Discard-108,Discard-108,HMP2RA82WN,Trip change sent,"Jan 16, 2023","Jan 18, 2023",67.90
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMWJ4SRE53,Past guest,"Jan 17, 2023","Jan 18, 2023",53.35
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HM338NC2KB,Past guest,"Jan 16, 2023","Jan 17, 2023",48.50
BeachFront*1 King*WIFI*Security*Laundry*Room-103,Room-103,HMSWKS2Z5J,Past guest,"Jan 16, 2023","Jan 17, 2023",67.90
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMPKNYQBSD,Past guest,"Jan 16, 2023","Jan 17, 2023",53.35
Discard-108,Discard-108,HMZABYFTYW,Past guest,"Jan 15, 2023","Jan 16, 2023",75.66
BeachFront*2 Full*WIFI*Security*Laundry*LBO-124,LBO-124,HMK9CW9CZX,Past guest,"Jan 14, 2023","Jan 16, 2023",87.30
BeachFront*1 King*WIFI*Security*Laundry*Room-140,Room-140,HMAWM2AD8N,Past guest,"Jan 14, 2023","Jan 16, 2023",97.00
BeachFront*2 Full*WIFI*Security*Laundry*Room- 110,Room- 110,HM955EAF3Z,Past guest,"Jan 13, 2023","Jan 16, 2023",193.52
BeachFront*1 King*WIFI*Security*Laundry*Room-115,Room-115,HMT8REPP34,Past guest,"Jan 14, 2023","Jan 15, 2023",67.90
*Ocean view*BeachFront*1 King*WIFI*Laundry*Room129,Room129,HMDPDN38J2,Past guest,"Jan 14, 2023","Jan 15, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-139,Room-139,HMFC8HSQPD,Past guest,"Jan 13, 2023","Jan 15, 2023",67.90
BeachFront*2 Full*WIFI*Security*Laundry*Room-134,Room-134,HMTAKATCY3,Past guest,"Jan 13, 2023","Jan 15, 2023",67.90
Ocean View*BeachFront*2 Full*WIFI*Laundry*Room-130,Room-130,HM3QDXWJY3,Past guest,"Jan 13, 2023","Jan 15, 2023",67.90
BeachFront*1 King*WIFI*Security*Laundry*Room-101,Room-101,HMT9ANZBA2,Past guest,"Jan 13, 2023","Jan 15, 2023",67.90
Discard-108,Discard-108,HMCAZJDC8Z,Past guest,"Jan 14, 2023","Jan 15, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-131,Room-131,HMFZF3RDTJ,Past guest,"Jan 14, 2023","Jan 15, 2023",48.50
BeachFront*1 King*WIFI*Security*Laundry*Room-103,Room-103,HMZMRHFK4M,Past guest,"Jan 13, 2023","Jan 15, 2023",87.30
BeachFront*2 full*WIFI*Security*Laundry*Room-125,Room-125,HM5TBPPCR3,Past guest,"Jan 13, 2023","Jan 15, 2023",97.00
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMP4J8EDSC,Past guest,"Jan 14, 2023","Jan 15, 2023",53.35
BeachFront*1 King*WIFI*Security*Laundry*Room-121,Room-121,HMJBDQACHD,Past guest,"Jan 13, 2023","Jan 14, 2023",48.50
BeachFront*1 King 2 full*Security*Laundry*Room-123,Room-123,HMQSEFNKZ5,Past guest,"Jan 13, 2023","Jan 14, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-109,Room-109,HM3YRMDQW4,Past guest,"Jan 13, 2023","Jan 14, 2023",48.50
BeachFront*2 Full*WIFI*Security*Laundry*Room-106,Room-106,HM5234W5W2,Past guest,"Jan 13, 2023","Jan 14, 2023",48.50
Discard-108,Discard-108,HMJYB4ZM53,Past guest,"Jan 12, 2023","Jan 14, 2023",87.30
BeachFront*2 Full*WIFI*Security*Laundry*Room-135,Room-135,HMP5K3WTHS,Past guest,"Jan 10, 2023","Jan 12, 2023",101.85
