listing name,room,confirmation,status,check in,check out,total payout
Beach Front*Sleep4*WIFI*Security*Laundry*Room-227,Room-227,HMFK5DKDP4,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",457.22
Ocean View*Beach Front*Sleep4*Laundry*Room-213,Room-213,HM9KEMKMD4,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",543.25
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HMS2CSAY42,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",507.19
BeachFront* scooter* Kitchen* Laundry Room-108, Laundry Room-108,HMMXRTYM9X,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",461.68
Beach Front*Sleep4*WIFI*Security*Laundry*Room-205,Room-205,HMMFB3QPJT,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",401.00
Ocean View*Beach Front*Sleep4*Laundry*Room-214,Room-214,HM2N989TSP,Arriving in 2 days,"Apr 5, 2023","Apr 9, 2023",451.16
OceanView*BeachFront*Sleep4*Full Kitchen*Room-211,Room-211,HMNQRXCQ8B,Arriving in 2 days,"Apr 5, 2023","Apr 10, 2023",548.46
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HMBW2MBTYJ,Arriving in 3 days,"Apr 6, 2023","Apr 7, 2023",144.53
Beach Front*Sleep4*WIFI*Security*Laundry*Room-207,Room-207,HMTAEW4S8H,Arriving in 3 days,"Apr 6, 2023","Apr 8, 2023",236.68
Beach Front*Sleep4*Full Kitchen*Laundry*Room-204,Room-204,HMDXYSDBH5,Arriving in 3 days,"Apr 6, 2023","Apr 8, 2023",201.75
OceanView*Beach Front*Sleep2*Laundry*Room-215,Room-215,HMWCXHPKFN,Arriving in 3 days,"Apr 6, 2023","Apr 8, 2023",263.06
Beach Front*Sleep4*WIFI*Security*Laundry*Room-107,Room-107,HMWTCMSKWM,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",625.84
Beach Front*Sleep4*WiFi*Security*Laundry*Room-202,Room-202,HMXSM9PFE4,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",338.98
Beach Front*Sleep4*Full Kitchen*Laundry*Room-126,Room-126,HMM4JAD4KX,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",338.98
Beach Front*Sleep4*WIFI*Security*Laundry*Room-121,Room-121,HMQEW8HYKY,Trip change sent,"Apr 6, 2023","Apr 9, 2023",337.17
Beach Front*Sleep4*WIFI*Security*Laundry*Room-125,Room-125,HM84333JYT,Arriving in 3 days,"Apr 6, 2023","Apr 9, 2023",313.72
Ocean View*Beach Front*Sleep2*Laundry*Room-112,Room-112,HMTBQNT2T3,Arriving in 3 days,"Apr 6, 2023","Apr 10, 2023",479.00
Beach Front*Sleep4*WIFI*Security*Laundry*Room-222,Room-222,HMRQFTFPWQ,Arriving in 3 days,"Apr 6, 2023","Apr 10, 2023",404.57
Ocean View*Beach Front*Sleep4*Laundry*Room-212,Room-212,HMCD4JQWHX,Arriving in 3 days,"Apr 6, 2023","Apr 10, 2023",448.14
Beach Front*Sleep4*WIFI*Security*Laundry*Room-122,Room-122,HMHR53KSDQ,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",273.54
Beach Front*Sleep4*WIFI*Security*Laundry*Room-226,Room-226,HMZW8SS99F,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",240.56
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HM34ZTREFX,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",245.41
Beach Front*Sleep4*WIFI*Security*Laundry*Room-219,Room-219,HMAXFAEWYY,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",257.05
Beach Front*Sleep4*WIFI*Security*Laundry*Room-116,Room-116,HM59MMRX4C,Arriving in 4 days,"Apr 7, 2023","Apr 9, 2023",196.86
Beach Front*Sleep4*WIFI*Security*Laundry*Room-209,Room-209,HMPJSSY2RR,Arriving in 4 days,"Apr 7, 2023","Apr 17, 2023",749.48
Beach Front*Sleep4*WiFi*Security*Laundry*Room-202,Room-202,HMWKZDSM52,Confirmed,"Apr 22, 2023","Apr 24, 2023",192.06
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HMEMP9P39F,Confirmed,"Apr 25, 2023","Apr 30, 2023",493.38
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HMEJJ5SQP5,Confirmed,"Apr 27, 2023","May 1, 2023",403.68
Beach Front*Sleep4*WiFi*Security*Laundry*Room-202,Room-202,HMHQREWEET,Confirmed,"Apr 28, 2023","Apr 30, 2023",246.38
Beach Front*Sleep4*Full Kitchen*Laundry*Room-106,Room-106,HM5TN4X8SJ,Confirmed,"May 16, 2023","May 22, 2023",918.01
Beach Front*Sleep4*WIFI*Security*Laundry*Room-218,Room-218,HMJ8H4BKZS,Confirmed,"May 16, 2023","May 22, 2023",861.26
Beach Front*Sleep4*WIFI*Security*Laundry*Room-107,Room-107,HMQ9J9SESB,Confirmed,"May 17, 2023","May 22, 2023",895.89
Beach Front*Sleep4*WIFI*Security*Laundry*Room-226,Room-226,HM9NFSXQ99,Confirmed,"May 17, 2023","May 22, 2023",815.57
OceanView* BeachFront* Scooter* Kitchen* Room-217, Room-217,HMMNRM3H4Y,Confirmed,"May 17, 2023","May 22, 2023",959.33
BeachFront* scooter* Kitchen* Laundry Room-108, Laundry Room-108,HMRFNJMRKZ,Confirmed,"May 17, 2023","May 22, 2023",741.42
Beach Front*Sleep4*WiFi*Security*Laundry*Room-202,Room-202,HMNS4JTHSM,Confirmed,"May 18, 2023","May 21, 2023",602.39
Beach Front* Scooter* Laundry* WIFI Room-225, WIFI Room-225,HMKBS8AAYB,Confirmed,"May 18, 2023","May 21, 2023",572.62
Beach Front*Sleep4*WiFi*Security*Laundry*Room-115,Room-115,HMSKCBBY39,Confirmed,"May 18, 2023","May 21, 2023",572.62
Beach Front*Sleep4*Full Kitchen*Laundry*Room-206,Room-206,HMJQ4FRWRK,Confirmed,"May 18, 2023","May 22, 2023",674.07
Beach Front*Sleep4*Full Kitchen*Laundry*Room-126,Room-126,HM4J54DT8C,Confirmed,"May 18, 2023","May 22, 2023",649.09
Beach Front*Sleep4*WIFI*Security*Laundry*Room-105,Room-105,HMXKX4QWDP,Confirmed,"May 19, 2023","May 21, 2023",422.92
Ocean View*Beach Front*Sleep2*Laundry*Room-112,Room-112,HMH4A95KQY,Confirmed,"May 19, 2023","May 23, 2023",717.80
Beach Front*Sleep4*WIFI*Security*Laundry*Room-122,Room-122,HMYSC94ZHH,Confirmed,"May 20, 2023","May 21, 2023",261.90
Beach Front*Sleep4*Full Kitchen*Laundry*Room-208,Room-208,HM3AKA4D34,Confirmed,"May 20, 2023","May 22, 2023",365.69
Beach Front*Sleep4*WIFI*Security*Laundry*Room-224,Room-224,HMBF48Y3HH,Confirmed,"May 20, 2023","May 22, 2023",368.60
Beach Front*Sleep2*WIFI*Security*Laundry*Room-118,Room-118,HM5YXDBQHD,Confirmed,"May 20, 2023","May 22, 2023",368.60
